User Hash,Status,Tweet,Friends?
83c722,Pending,https://twitter.com/joshvittetoe/status/390946565411467264,
83616d,Pending,https://twitter.com/aaronlammer/status/390946992106373120,Yes - Lammer
5cc9ca,Pending,https://twitter.com/robertvinluan/status/390947141260025856,"Yes - RV, intern"
3de4ab,Pending,https://twitter.com/tokyohanna/status/390947269576388608,
d6e339,Pending,https://twitter.com/karenmcgrane/status/390947314564472832,Yes - McGrane
628602,Pending,https://twitter.com/megcarpen/status/390947626822017024,
6fa760,Pending,https://twitter.com/atrvrs/status/390948688522006528,
6e9cbc,Pending,https://twitter.com/zenophor/status/390949660791017472,
66901a,Pending,https://twitter.com/_akumar/status/390950495700803584,
4b7215 ,Pending,https://twitter.com/xsheenasinghx/status/390950741029838848,Yes Sheena
8c40d6,Pending,https://twitter.com/jwaterworth/status/390951092546068481,
0ba45a,Pending,https://twitter.com/decarola/status/390953550081036288,
788fcd,Pending,https://twitter.com/crgwbr/status/390953770139414530,
09239b ,Pending,https://twitter.com/gooeyblob/status/390954407132950528,"I guess, Kevin"
8339ca,Pending,https://twitter.com/xiian/status/390955123683246080,"Yes, Tom"
2f8aa6 ,Pending,https://twitter.com/closacco/status/390956157025546240,"Yes, Chris L"
339c3b,Pending,https://twitter.com/jpotisch/status/390956218069426176,"Yes, Joel"
1ba4c7,Pending,https://twitter.com/stuartlamour/status/390967572348141568,
da18fe,Pending,https://twitter.com/stuarts/status/390968137090220032,
0ace27 ,Pending,https://twitter.com/murtaugh/status/390984052968157184,"Yes, Tim Murtaugh"
9c9854,Pending,https://twitter.com/justincharles/status/391004353680928768,
850322,Pending,https://twitter.com/mirte/status/391010977174417408,
7b13c6,Pending,https://twitter.com/chrisa9/status/391011498421518336,
b0ecbe,Pending,https://twitter.com/zeeshanlakhani/status/391011586573209601,"Yes, Zee"
2c5f77 ,Pending,https://twitter.com/bowmanb/status/391013819398361088,"Yep, BBow"
81b5c6 ,Pending,https://twitter.com/jeremyheiler/status/391018998529134592,"Yes, Jeremy"
8dd030 ,Pending,https://twitter.com/d_run/status/391029558939357184,D-Run
f2c97e,Pending,https://twitter.com/redkeg/status/391058992908079104,Matt Q
e5967f,Pending,https://twitter.com/mickduggan/status/391144160134057984,